date,Zip,County
1996-04,115600,137700
1996-05,116200,137000
1996-06,116900,137100
1996-07,117600,137600
1996-08,119400,138000
1996-09,122200,138200
1996-10,124400,138400
1996-11,125100,138800
1996-12,124700,139400
1997-01,124500,139700
1997-02,123900,140000
1997-03,122200,140000
1997-04,120600,139900
1997-05,120700,140300
1997-06,122200,140900
1997-07,123200,141300
1997-08,123400,141900
1997-09,123800,143100
1997-10,125100,144200
1997-11,126200,145200
1997-12,127200,146300
1998-01,128500,147300
1998-02,129400,147800
1998-03,131500,151300
1998-04,,
1998-05,,
1998-06,,
1998-07,135700,156800
1998-08,138500,160400
1998-09,138500,161300
1998-10,139300,162200
1998-11,141600,162700
1998-12,143800,163800
1999-01,144400,164900
1999-02,143600,166500
1999-03,143500,168600
1999-04,144500,170100
1999-05,146700,171300
1999-06,149900,172300
1999-07,151800,172600
1999-08,151600,172800
1999-09,151600,173800
1999-10,153600,175900
1999-11,155700,178500
1999-12,157200,180400
2000-01,159300,182400
2000-02,163600,184400
2000-03,167000,186100
2000-04,169300,187900
2000-05,172000,190400
2000-06,174800,192300
2000-07,176000,193600
2000-08,177400,195300
2000-09,180000,197700
2000-10,182200,200200
2000-11,183400,202700
2000-12,185400,205400
2001-01,187800,208300
2001-02,189700,210900
2001-03,191800,213300
2001-04,195000,216100
2001-05,198600,218900
2001-06,203200,220900
2001-07,207600,223000
2001-08,211100,225400
2001-09,215300,227900
2001-10,220600,230300
2001-11,224500,232800
2001-12,226300,235300
2002-01,227300,238000
2002-02,227700,240500
2002-03,226200,242400
2002-04,224500,245000
2002-05,224800,248900
2002-06,225100,253000
2002-07,226300,256900
2002-08,232300,261400
2002-09,237700,266200
2002-10,239100,270700
2002-11,241200,275200
2002-12,245500,279500
2003-01,249900,283700
2003-02,254900,288100
2003-03,259600,292800
2003-04,262900,296800
2003-05,265600,300100
2003-06,268000,303300
2003-07,270500,307300
2003-08,274900,312400
2003-09,281900,318300
2003-10,289000,325100
2003-11,296100,332700
2003-12,302900,341000
2004-01,311000,349600
2004-02,320600,358100
2004-03,335800,367700
2004-04,352700,379400
2004-05,367500,392000
2004-06,379700,404500
2004-07,392200,415400
2004-08,398800,424400
2004-09,400000,431200
2004-10,399000,436100
2004-11,398000,439400
2004-12,397800,442100
2005-01,398000,444800
2005-02,397800,448100
2005-03,399100,452800
2005-04,402500,458500
2005-05,405000,464400
2005-06,405100,470200
2005-07,406000,476900
2005-08,410400,484200
2005-09,416900,491800
2005-10,423000,499300
2005-11,427200,506400
2005-12,430100,512300
2006-01,433700,517500
2006-02,438100,522400
2006-03,440500,526500
2006-04,441800,529100
2006-05,441100,530100
2006-06,439500,530000
2006-07,434200,528900
2006-08,425400,527000
2006-09,419900,525000
2006-10,421700,522800
2006-11,423700,520600
2006-12,426000,518400
2007-01,429300,516500
2007-02,427500,514700
2007-03,422100,512100
2007-04,417500,508200
2007-05,412000,504000
2007-06,407800,499500
2007-07,408800,494200
2007-08,408900,488300
2007-09,404500,482200
2007-10,397600,477100
2007-11,390700,472300
2007-12,385300,466100
2008-01,380400,459600
2008-02,374200,453100
2008-03,367700,443800
2008-04,363100,433000
2008-05,358900,422400
2008-06,351500,413500
2008-07,342500,406400
2008-08,335200,399700
2008-09,326300,393000
2008-10,315100,386700
2008-11,305800,380200
2008-12,298300,372200
2009-01,290600,362700
2009-02,285300,354100
2009-03,277900,347900
2009-04,268900,342500
2009-05,263400,338200
2009-06,263500,335900
2009-07,261500,334300
2009-08,257500,332600
2009-09,254600,331100
2009-10,254300,329700
2009-11,253800,327700
2009-12,250500,328000
2010-01,246200,329900
2010-02,245700,331200
2010-03,248300,332200
2010-04,247400,334600
2010-05,247500,335500
2010-06,249100,334200
2010-07,247600,332700
2010-08,242900,331600
2010-09,238100,329700
2010-10,235500,328300
2010-11,235200,328400
2010-12,232900,328600
2011-01,228600,327900
2011-02,226300,326000
2011-03,225600,322600
2011-04,225200,319200
2011-05,224700,317000
2011-06,221600,314000
2011-07,219500,310400
2011-08,219700,307600
2011-09,222200,305900
2011-10,225100,303800
2011-11,227300,302100
2011-12,229300,301300
2012-01,231300,301600
2012-02,231200,302100
2012-03,231600,302100
2012-04,235000,302200
2012-05,235900,303100
2012-06,234500,304500
2012-07,234000,306700
2012-08,237400,310400
2012-09,242900,314600
2012-10,248300,318000
2012-11,253500,321300
2012-12,260500,325400
2013-01,268400,330700
2013-02,271300,337600
2013-03,270700,346300
2013-04,269900,355500
2013-05,272100,364400
2013-06,279600,372300
2013-07,295100,378300
2013-08,310700,382900
2013-09,323100,388600
2013-10,329400,394500
2013-11,330500,399500
2013-12,329200,402100
2014-01,328300,403400
2014-02,328800,405200
2014-03,332500,408900
2014-04,336200,411700
2014-05,336100,413300
2014-06,334500,414500
2014-07,331900,415100
2014-08,329000,416000
2014-09,328600,417300
2014-10,329600,418000
2014-11,329100,419300
2014-12,329600,421500
2015-01,332700,423100
2015-02,336900,424600
2015-03,340600,427000
2015-04,344500,430000
2015-05,348200,433000
2015-06,349700,435300
2015-07,351400,437800
2015-08,354900,440500
2015-09,354600,442900
2015-10,350500,445000
2015-11,350600,446800
2015-12,355100,448200
2016-01,357900,450100
2016-02,359300,452300
2016-03,360400,453700
2016-04,360400,454300
2016-05,362000,455100
2016-06,367900,460800
2016-07,371100,468300
2016-08,368900,472100
2016-09,366100,473200
2016-10,365000,475900
2016-11,365500,478800
2016-12,370000,481700
2017-01,376900,484700
2017-02,382400,486900
2017-03,386100,488000
2017-04,392400,489000
2017-05,399700,490100
