area,date,price
"Zip 92610",1996-04,115600
"Zip 92610",1996-05,116200
"Zip 92610",1996-06,116900
"Zip 92610",1996-07,117600
"Zip 92610",1996-08,119400
"Zip 92610",1996-09,122200
"Zip 92610",1996-10,124400
"Zip 92610",1996-11,125100
"Zip 92610",1996-12,124700
"Zip 92610",1997-01,124500
"Zip 92610",1997-02,123900
"Zip 92610",1997-03,122200
"Zip 92610",1997-04,120600
"Zip 92610",1997-05,120700
"Zip 92610",1997-06,122200
"Zip 92610",1997-07,123200
"Zip 92610",1997-08,123400
"Zip 92610",1997-09,123800
"Zip 92610",1997-10,125100
"Zip 92610",1997-11,126200
"Zip 92610",1997-12,127200
"Zip 92610",1998-01,128500
"Zip 92610",1998-02,129400
"Zip 92610",1998-03,131500
"Zip 92610",1998-04,
"Zip 92610",1998-05,
"Zip 92610",1998-06,
"Zip 92610",1998-07,135700
"Zip 92610",1998-08,138500
"Zip 92610",1998-09,138500
"Zip 92610",1998-10,139300
"Zip 92610",1998-11,141600
"Zip 92610",1998-12,143800
"Zip 92610",1999-01,144400
"Zip 92610",1999-02,143600
"Zip 92610",1999-03,143500
"Zip 92610",1999-04,144500
"Zip 92610",1999-05,146700
"Zip 92610",1999-06,149900
"Zip 92610",1999-07,151800
"Zip 92610",1999-08,151600
"Zip 92610",1999-09,151600
"Zip 92610",1999-10,153600
"Zip 92610",1999-11,155700
"Zip 92610",1999-12,157200
"Zip 92610",2000-01,159300
"Zip 92610",2000-02,163600
"Zip 92610",2000-03,167000
"Zip 92610",2000-04,169300
"Zip 92610",2000-05,172000
"Zip 92610",2000-06,174800
"Zip 92610",2000-07,176000
"Zip 92610",2000-08,177400
"Zip 92610",2000-09,180000
"Zip 92610",2000-10,182200
"Zip 92610",2000-11,183400
"Zip 92610",2000-12,185400
"Zip 92610",2001-01,187800
"Zip 92610",2001-02,189700
"Zip 92610",2001-03,191800
"Zip 92610",2001-04,195000
"Zip 92610",2001-05,198600
"Zip 92610",2001-06,203200
"Zip 92610",2001-07,207600
"Zip 92610",2001-08,211100
"Zip 92610",2001-09,215300
"Zip 92610",2001-10,220600
"Zip 92610",2001-11,224500
"Zip 92610",2001-12,226300
"Zip 92610",2002-01,227300
"Zip 92610",2002-02,227700
"Zip 92610",2002-03,226200
"Zip 92610",2002-04,224500
"Zip 92610",2002-05,224800
"Zip 92610",2002-06,225100
"Zip 92610",2002-07,226300
"Zip 92610",2002-08,232300
"Zip 92610",2002-09,237700
"Zip 92610",2002-10,239100
"Zip 92610",2002-11,241200
