"Region","RegionName","State","ForecastYoYPctChange","MSAName","CountyName","CityName"
"National","United States","US",3.19175368625358,NA,NA,NA
"MSA","Akron, OH","OH",2.70060486314018,"Akron, OH",NA,NA
"MSA","Albany, GA","GA",3.64727846571155,"Albany, GA",NA,NA
"MSA","Albany, NY","NY",0.318452831167818,"Albany, NY",NA,NA
"MSA","Albuquerque, NM","NM",4.30066473303713,"Albuquerque, NM",NA,NA
"MSA","Alexandria, LA","LA",3.27232562140802,"Alexandria, LA",NA,NA
"MSA","Allentown, PA","PA",1.95857182784873,"Allentown, PA",NA,NA
"MSA","Altoona, PA","PA",2.44961144036053,"Altoona, PA",NA,NA
"MSA","Amarillo, TX","TX",3.18775195532968,"Amarillo, TX",NA,NA
"MSA","Anchorage, AK","AK",4.88296495153695,"Anchorage, AK",NA,NA
"MSA","Ann Arbor, MI","MI",3.53186692252437,"Ann Arbor, MI",NA,NA
"MSA","Appleton, WI","WI",3.68395483334526,"Appleton, WI",NA,NA
"MSA","Asheville, NC","NC",3.51194490171845,"Asheville, NC",NA,NA
"MSA","Athens, GA","GA",3.0982350218038,"Athens, GA",NA,NA
"MSA","Atlanta, GA","GA",4.52672304666245,"Atlanta, GA",NA,NA
"MSA","Atlantic City, NJ","NJ",0.916116946295856,"Atlantic City, NJ",NA,NA
"MSA","Augusta, GA","GA",3.8379245340412,"Augusta, GA",NA,NA
"MSA","Austin, TX","TX",3.01108620491226,"Austin, TX",NA,NA
"MSA","Bakersfield, CA","CA",3.8901588258031,"Bakersfield, CA",NA,NA
"MSA","Baltimore, MD","MD",1.80967847863315,"Baltimore, MD",NA,NA
"MSA","Cape Cod, MA","MA",2.15298268496861,"Cape Cod, MA",NA,NA
"MSA","Baton Rouge, LA","LA",3.0412187180815,"Baton Rouge, LA",NA,NA
"MSA","Battle Creek, MI","MI",3.2792324998326,"Battle Creek, MI",NA,NA
"MSA","Bay City, MI","MI",4.21901929061973,"Bay City, MI",NA,NA
"MSA","Bellingham, WA","WA",3.75292155786016,"Bellingham, WA",NA,NA
"MSA","Bend, OR","OR",2.70264185881357,"Bend, OR",NA,NA
"MSA","Billings, MT","MT",1.8823660144262,"Billings, MT",NA,NA
"MSA","Binghamton, NY","NY",0.56444540137793,"Binghamton, NY",NA,NA
"MSA","Birmingham, AL","AL",3.38583278584071,"Birmingham, AL",NA,NA
